Temperature,TotalWireLength,,Cooling  Rate,0.95,0.9,0.85,0.8,0.75
90500,181,,Total Wire Length,63,64,65,66,67
85975,152,,,,,,,
81676.2,161,,,,,,,
77592.4,167,,,,,,,
73712.8,169,,,,,,,
70027.2,176,,,,,,,
66525.8,165,,,,,,,
63199.5,157,,,,,,,
60039.5,162,,,,,,,
57037.6,172,,,,,,,
54185.7,165,,,,,,,
51476.4,169,,,,,,,
48902.6,178,,,,,,,
46457.5,168,,,,,,,
44134.6,181,,,,,,,
41927.9,160,,,,,,,
39831.5,209,,,,,,,
37839.9,154,,,,,,,
35947.9,160,,,,,,,
34150.5,178,,,,,,,
32443,191,,,,,,,
30820.8,183,,,,,,,
29279.8,164,,,,,,,
27815.8,189,,,,,,,
26425,184,,,,,,,
25103.8,165,,,,,,,
23848.6,182,,,,,,,
22656.1,164,,,,,,,
21523.3,163,,,,,,,
20447.2,180,,,,,,,
19424.8,186,,,,,,,
18453.6,161,,,,,,,
17530.9,167,,,,,,,
16654.3,198,,,,,,,
15821.6,177,,,,,,,
15030.5,177,,,,,,,
14279,176,,,,,,,
13565.1,160,,,,,,,
12886.8,176,,,,,,,
12242.5,164,,,,,,,
11630.4,152,,,,,,,
11048.8,177,,,,,,,
10496.4,177,,,,,,,
9971.57,165,,,,,,,
9472.99,160,,,,,,,
8999.34,191,,,,,,,
8549.38,169,,,,,,,
8121.91,131,,,,,,,
7715.81,177,,,,,,,
7330.02,163,,,,,,,
6963.52,178,,,,,,,
6615.34,185,,,,,,,
6284.58,181,,,,,,,
5970.35,176,,,,,,,
5671.83,186,,,,,,,
5388.24,180,,,,,,,
5118.83,174,,,,,,,
4862.89,152,,,,,,,
4619.74,182,,,,,,,
4388.75,181,,,,,,,
4169.32,169,,,,,,,
3960.85,162,,,,,,,
3762.81,169,,,,,,,
3574.67,183,,,,,,,
3395.93,176,,,,,,,
3226.14,161,,,,,,,
3064.83,190,,,,,,,
2911.59,160,,,,,,,
2766.01,157,,,,,,,
2627.71,176,,,,,,,
2496.32,181,,,,,,,
2371.51,176,,,,,,,
2252.93,173,,,,,,,
2140.29,157,,,,,,,
2033.27,164,,,,,,,
1931.61,157,,,,,,,
1835.03,181,,,,,,,
1743.28,169,,,,,,,
1656.11,173,,,,,,,
1573.31,201,,,,,,,
1494.64,173,,,,,,,
1419.91,161,,,,,,,
1348.91,159,,,,,,,
1281.47,165,,,,,,,
1217.39,162,,,,,,,
1156.53,195,,,,,,,
1098.7,177,,,,,,,
1043.76,182,,,,,,,
991.576,176,,,,,,,
941.997,171,,,,,,,
894.897,176,,,,,,,
850.152,167,,,,,,,
807.645,163,,,,,,,
767.262,196,,,,,,,
728.899,176,,,,,,,
692.454,157,,,,,,,
657.832,195,,,,,,,
624.94,169,,,,,,,
593.693,161,,,,,,,
564.008,187,,,,,,,
535.808,147,,,,,,,
509.017,164,,,,,,,
483.567,176,,,,,,,
459.388,187,,,,,,,
436.419,173,,,,,,,
414.598,182,,,,,,,
393.868,169,,,,,,,
374.175,159,,,,,,,
355.466,172,,,,,,,
337.693,184,,,,,,,
320.808,153,,,,,,,
304.768,169,,,,,,,
289.529,164,,,,,,,
275.053,182,,,,,,,
261.3,169,,,,,,,
248.235,178,,,,,,,
235.823,165,,,,,,,
224.032,168,,,,,,,
212.831,172,,,,,,,
202.189,184,,,,,,,
192.08,170,,,,,,,
182.476,153,,,,,,,
173.352,175,,,,,,,
164.684,179,,,,,,,
156.45,189,,,,,,,
148.628,166,,,,,,,
141.196,153,,,,,,,
134.136,177,,,,,,,
127.43,159,,,,,,,
121.058,159,,,,,,,
115.005,160,,,,,,,
109.255,187,,,,,,,
103.792,167,,,,,,,
98.6025,208,,,,,,,
93.6724,175,,,,,,,
88.9888,195,,,,,,,
84.5393,164,,,,,,,
80.3124,180,,,,,,,
76.2968,151,,,,,,,
72.4819,172,,,,,,,
68.8578,155,,,,,,,
65.4149,178,,,,,,,
62.1442,147,,,,,,,
59.037,184,,,,,,,
56.0851,161,,,,,,,
53.2809,171,,,,,,,
50.6168,152,,,,,,,
48.086,160,,,,,,,
45.6817,157,,,,,,,
43.3976,173,,,,,,,
41.2277,175,,,,,,,
39.1663,156,,,,,,,
37.208,167,,,,,,,
35.3476,140,,,,,,,
33.5802,185,,,,,,,
31.9012,169,,,,,,,
30.3062,157,,,,,,,
28.7909,157,,,,,,,
27.3513,173,,,,,,,
25.9837,178,,,,,,,
24.6846,143,,,,,,,
23.4503,181,,,,,,,
22.2778,158,,,,,,,
21.1639,187,,,,,,,
20.1057,175,,,,,,,
19.1004,172,,,,,,,
18.1454,184,,,,,,,
17.2382,174,,,,,,,
16.3762,155,,,,,,,
15.5574,163,,,,,,,
14.7796,167,,,,,,,
14.0406,152,,,,,,,
13.3386,148,,,,,,,
12.6716,150,,,,,,,
12.038,162,,,,,,,
11.4361,156,,,,,,,
10.8643,160,,,,,,,
10.3211,139,,,,,,,
9.80506,166,,,,,,,
9.31481,166,,,,,,,
8.84907,167,,,,,,,
8.40661,145,,,,,,,
7.98628,162,,,,,,,
7.58697,152,,,,,,,
7.20762,165,,,,,,,
6.84724,182,,,,,,,
6.50488,157,,,,,,,
6.17963,144,,,,,,,
5.87065,162,,,,,,,
5.57712,166,,,,,,,
5.29826,155,,,,,,,
5.03335,170,,,,,,,
4.78168,152,,,,,,,
4.5426,138,,,,,,,
4.31547,150,,,,,,,
4.0997,143,,,,,,,
3.89471,147,,,,,,,
3.69998,136,,,,,,,
3.51498,148,,,,,,,
3.33923,148,,,,,,,
